srcpos,srcwell,destpos,destwell,vol
src_plate,13,mixing_plate,1,180.0
src_plate,13,mixing_plate,1,36.48664996133786
src_plate,10,mixing_plate,2,92.85543073335528
src_plate,9,mixing_plate,3,5.0
mixing_plate,3,mixing_plate,4,180.0
mixing_plate,3,mixing_plate,4,67.5578750080372
src_plate,14,mixing_plate,5,5.0
mixing_plate,5,mixing_plate,6,180.0
mixing_plate,5,mixing_plate,6,2.678395444695667
src_plate,16,mixing_plate,7,5.0
mixing_plate,7,mixing_plate,8,180.0
mixing_plate,7,mixing_plate,8,52.523849877735415
src_plate,11,mixing_plate,9,5.0
mixing_plate,9,mixing_plate,10,122.25362965030611
src_plate,12,mixing_plate,11,5.0
mixing_plate,11,mixing_plate,12,125.26178264966663
src_plate,15,mixing_plate,13,5.0
mixing_plate,13,mixing_plate,14,9.518802715763657
mixing_plate,1,mixing_plate,15,180.0
mixing_plate,1,mixing_plate,15,180.0
mixing_plate,1,mixing_plate,15,180.0
mixing_plate,1,mixing_plate,15,146.79965565424766
mixing_plate,12,mixing_plate,16,180.0
mixing_plate,12,mixing_plate,16,180.0
mixing_plate,12,mixing_plate,16,49.23450250708453
mixing_plate,8,mixing_plate,17,180.0
mixing_plate,8,mixing_plate,17,180.0
mixing_plate,8,mixing_plate,17,156.6429638884798
mixing_plate,16,mixing_plate,18,180.0
mixing_plate,16,mixing_plate,18,156.65833900279108
src_plate,3,mixing_plate,19,180.0
src_plate,3,mixing_plate,19,180.0
src_plate,3,mixing_plate,19,53.469971680750916
mixing_plate,10,mixing_plate,20,176.64373202534946
src_plate,8,mixing_plate,21,180.0
src_plate,8,mixing_plate,21,180.0
src_plate,8,mixing_plate,21,178.02232206837164
mixing_plate,2,mixing_plate,22,180.0
mixing_plate,2,mixing_plate,22,180.0
mixing_plate,2,mixing_plate,22,180.0
mixing_plate,2,mixing_plate,22,43.85588902461552
mixing_plate,21,mixing_plate,23,180.0
mixing_plate,21,mixing_plate,23,180.0
mixing_plate,21,mixing_plate,23,161.41111410851067
mixing_plate,14,mixing_plate,24,180.0
mixing_plate,14,mixing_plate,24,77.54284797760727
mixing_plate,6,mixing_plate,25,180.0
mixing_plate,6,mixing_plate,25,180.0
mixing_plate,6,mixing_plate,25,180.0
mixing_plate,6,mixing_plate,25,125.54385752420342
mixing_plate,17,mixing_plate,26,180.0
mixing_plate,17,mixing_plate,26,180.0
mixing_plate,17,mixing_plate,26,109.47469647427249
mixing_plate,19,mixing_plate,27,180.0
mixing_plate,19,mixing_plate,27,180.0
mixing_plate,19,mixing_plate,27,180.0
mixing_plate,19,mixing_plate,27,28.879640291182568
src_plate,6,mixing_plate,28,180.0
src_plate,6,mixing_plate,28,124.72163267787283
mixing_plate,22,mixing_plate,29,7.765681017108428
mixing_plate,15,mixing_plate,30,180.0
mixing_plate,15,mixing_plate,30,11.746784382698195
mixing_plate,25,mixing_plate,31,180.0
mixing_plate,25,mixing_plate,31,180.0
mixing_plate,25,mixing_plate,31,180.0
mixing_plate,25,mixing_plate,31,72.57030954910692
mixing_plate,26,mixing_plate,32,180.0
mixing_plate,26,mixing_plate,32,29.454885671359364
mixing_plate,18,mixing_plate,33,180.0
mixing_plate,18,mixing_plate,33,180.0
mixing_plate,18,mixing_plate,33,32.799483255660505
src_plate,9,mixing_plate,34,22.11007170408605
mixing_plate,31,mixing_plate,35,180.0
mixing_plate,31,mixing_plate,35,20.126078446174944
mixing_plate,34,mixing_plate,36,180.0
mixing_plate,34,mixing_plate,36,180.0
mixing_plate,34,mixing_plate,36,54.03065550518136
