Line Name,Protocol Name,Measurement,24
M1-R1-W1-C1-B1,LC-MS,CID:193349:Indigoidine,0.039562900000000005
M1-R2-W9-C1-B1,LC-MS,CID:193349:Indigoidine,0.0737786
M1-R3-W17-C1-B1,LC-MS,CID:193349:Indigoidine,0.082351
M2-R1-W2-C1-B1,LC-MS,CID:193349:Indigoidine,0.1497478
M2-R2-W10-C1-B1,LC-MS,CID:193349:Indigoidine,0.20413820000000002
M2-R3-W18-C1-B1,LC-MS,CID:193349:Indigoidine,0.2178836
M3-R1-W3-C1-B1,LC-MS,CID:193349:Indigoidine,-0.018005200000000002
M3-R2-W11-C1-B1,LC-MS,CID:193349:Indigoidine,0.0401541
M3-R3-W19-C1-B1,LC-MS,CID:193349:Indigoidine,-0.0379582
M4-R1-W4-C1-B1,LC-MS,CID:193349:Indigoidine,0.1300904
M4-R2-W12-C1-B1,LC-MS,CID:193349:Indigoidine,0.13267690000000001
M4-R3-W20-C1-B1,LC-MS,CID:193349:Indigoidine,0.1977828
M5-R1-W5-C1-B1,LC-MS,CID:193349:Indigoidine,-0.0381799
M5-R2-W13-C1-B1,LC-MS,CID:193349:Indigoidine,0.0873762
M5-R3-W21-C1-B1,LC-MS,CID:193349:Indigoidine,0.0710443
M6-R1-W6-C1-B1,LC-MS,CID:193349:Indigoidine,0.1731741
M6-R2-W14-C1-B1,LC-MS,CID:193349:Indigoidine,0.22024839999999998
M6-R3-W22-C1-B1,LC-MS,CID:193349:Indigoidine,0.1546991
M7-R1-W7-C1-B1,LC-MS,CID:193349:Indigoidine,-0.0230304
M7-R2-W15-C1-B1,LC-MS,CID:193349:Indigoidine,-0.0132017
M7-R3-W23-C1-B1,LC-MS,CID:193349:Indigoidine,-0.0071419
M8-R1-W8-C1-B1,LC-MS,CID:193349:Indigoidine,-0.0364063
M8-R2-W16-C1-B1,LC-MS,CID:193349:Indigoidine,-0.032637400000000004
M8-R3-W24-C1-B1,LC-MS,CID:193349:Indigoidine,-0.0301248
M9-R1-W25-C1-B1,LC-MS,CID:193349:Indigoidine,0.29392670000000004
M9-R2-W33-C1-B1,LC-MS,CID:193349:Indigoidine,0.34624790000000005
M9-R3-W41-C1-B1,LC-MS,CID:193349:Indigoidine,0.2656969
M10-R1-W26-C1-B1,LC-MS,CID:193349:Indigoidine,0.6273635000000001
M10-R2-W34-C1-B1,LC-MS,CID:193349:Indigoidine,0.7082101
M10-R3-W42-C1-B1,LC-MS,CID:193349:Indigoidine,0.14871320000000002
M11-R1-W27-C1-B1,LC-MS,CID:193349:Indigoidine,0.0667581
M11-R2-W35-C1-B1,LC-MS,CID:193349:Indigoidine,0.0929187
M11-R3-W43-C1-B1,LC-MS,CID:193349:Indigoidine,-0.0054421999999999995
M12-R1-W28-C1-B1,LC-MS,CID:193349:Indigoidine,1.0168904
M12-R2-W36-C1-B1,LC-MS,CID:193349:Indigoidine,1.5461622
M12-R3-W44-C1-B1,LC-MS,CID:193349:Indigoidine,0.5642529000000001
M13-R1-W29-C1-B1,LC-MS,CID:193349:Indigoidine,0.09853510000000001
M13-R2-W37-C1-B1,LC-MS,CID:193349:Indigoidine,0.2420489
M13-R3-W45-C1-B1,LC-MS,CID:193349:Indigoidine,-0.036775800000000004
M14-R1-W30-C1-B1,LC-MS,CID:193349:Indigoidine,0.0260392
M14-R2-W38-C1-B1,LC-MS,CID:193349:Indigoidine,0.0822771
M14-R3-W46-C1-B1,LC-MS,CID:193349:Indigoidine,-0.0297553
M15-R1-W31-C1-B1,LC-MS,CID:193349:Indigoidine,-0.038253800000000004
M15-R2-W39-C1-B1,LC-MS,CID:193349:Indigoidine,-0.0177096
M15-R3-W47-C1-B1,LC-MS,CID:193349:Indigoidine,-0.0099501
M0-R1-W32-C1-B1,LC-MS,CID:193349:Indigoidine,0.46042340000000004
M0-R2-W40-C1-B1,LC-MS,CID:193349:Indigoidine,0.1820421
M0-R3-W48-C1-B1,LC-MS,CID:193349:Indigoidine,0.30508559999999996
